Bust,waist,hip,sholders,slevers,dsize,colour,Label
36,31,37,15,23,XS,0,1
36,31,37,15,23,XS,1,2
36,31,37,15,23,XS,2,3
38,33,39,15.5,24,S,0,1
38,33,39,15.5,24,S,1,2
38,33,39,15.5,24,S,2,3
40,35,42,16,24,M,0,1
40,35,42,16,24,M,1,2
40,35,42,16,24,M,2,3
42,37,44,16.5,24.5, L,0,1
42,37,44,16.5,24.5,L,1,2
42,37,44,16.5,24.5,L,2,3
44,39,46,17,25,XL,0,1
44,39,46,17,25,XL,1,2
44,39,46,17,25,XL,2,3
47,40,49,18,25,XXL,0,1
47,40,49,18,25,XXL,1,2
47,40,49,18,25,XXL,2,3
36,31,37,15,23,XS,0,1
36,31,37,15,23,XS,1,2
36,31,37,15,23,XS,2,3
38,33,39,15.5,24,S,0,1
38,33,39,15.5,24,S,1,2
38,33,39,15.5,24,S,2,3
40,35,42,16,24,M,0,1
40,35,42,16,24,M,1,2
40,35,42,16,24,M,2,3
42,37,44,16.5,24.5, L,0,1
42,37,44,16.5,24.5,L,1,2
42,37,44,16.5,24.5,L,2,3
44,39,46,17,25,XL,0,1
44,39,46,17,25,XL,1,2
44,39,46,17,25,XL,2,3
47,40,49,18,25,XXL,0,1
47,40,49,18,25,XXL,1,2
47,40,49,18,25,XXL,2,3
36,31,37,15,23,XS,0,1
36,31,37,15,23,XS,1,2
36,31,37,15,23,XS,2,3
38,33,39,15.5,24,S,0,1
38,33,39,15.5,24,S,1,2
38,33,39,15.5,24,S,2,3
40,35,42,16,24,M,0,1
40,35,42,16,24,M,1,2
40,35,42,16,24,M,2,3
42,37,44,16.5,24.5, L,0,1
42,37,44,16.5,24.5,L,1,2
42,37,44,16.5,24.5,L,2,3
44,39,46,17,25,XL,0,1
44,39,46,17,25,XL,1,2
44,39,46,17,25,XL,2,3
47,40,49,18,25,XXL,0,1
47,40,49,18,25,XXL,1,2
47,40,49,18,25,XXL,2,3
36,31,37,15,23,XS,0,1
36,31,37,15,23,XS,1,2
36,31,37,15,23,XS,2,3
38,33,39,15.5,24,S,0,1
38,33,39,15.5,24,S,1,2
38,33,39,15.5,24,S,2,3
40,35,42,16,24,M,0,1
40,35,42,16,24,M,1,2
40,35,42,16,24,M,2,3
42,37,44,16.5,24.5, L,0,1
42,37,44,16.5,24.5,L,1,2
42,37,44,16.5,24.5,L,2,3
44,39,46,17,25,XL,0,1
44,39,46,17,25,XL,1,2
44,39,46,17,25,XL,2,3
47,40,49,18,25,XXL,0,1
47,40,49,18,25,XXL,1,2
47,40,49,18,25,XXL,2,3
