Chest ,ShoulderWidth,Waist ,Hips ,TotalHeight,colour,Gender,Age,Label
8,9,10,10,25,0,1,6,1
13,15,15,15,50,1,1,8,2
15,13,15,15,43,2,1,4,3
7,7,7,10,23,0,1,3,1
15,16,20,16,62,1,1,12,2
10,19,22,10,60,2,2,3,3
11,7,7,15,24,0,1,2,1
15,11,13,16,40,1,2,7,2
7,8,8,9,23,2,1,3,3
12,18,13,11,61,0,1,6,1
12,16,14,14,51,1,1,4,2
14,19,23,16,73,2,1,7,3
14,16,14,14,56,0,2,15,1
12,8,7,10,23,1,1,16,3
13,19,16,17,43,2,2,2,1
16,20,14,16,53,0,1,8,2
18,18,18,19,46,1,1,16,3
17,12,16,18,42,2,1,17,1
14,20,17,16,48,0,1,18,2
14,12,14,15,42,1,1,4,3
21,17,13,11,41,2,1,17,1
10,16,10,13,57,0,1,16,2
8,19,14,19,63,1,2,18,3
10,20,18,20,58,2,1,17,1
9,18,12,15,54,0,1,15,2
21,18,20,20,39,1,1,18,3
16,18,19,21,33,2,1,18,1
17,15,16,15,52,0,1,18,3
14,13,13,12,30,1,1,5,1
14,10,8,7,20,2,2,3,2
15,14,14,12,30,0,2,7,3
16,16,15,16,52,1,1,16,1
11,12,6,8,31,2,1,5,2
12,10,8,7,21,0,1,4,3
8,16,7,11,52,1,1,17,1
7,16,10,14,40,2,1,13,2
10,17,9,11,46,0,2,18,3
6,6,11,7,21,1,2,2,1
8,11,9,7,30,2,2,3,2
10,13,7,12,36,0,2,7,3
7,16,9,10,43,1,2,14,1
9,16,11,10,56,2,1,12,3
8,10,10,10,41,0,1,6,1
10,19,6,12,35,1,1,3,2
16,13,14,15,32,2,1,4,3
10,9,9,10,23,0,1,2,1
15,15,15,16,35,1,1,9,2
18,17,16,18,57,2,2,18,3
12,14,9,10,32,0,2,4,1
13,9,9,10,23,1,2,2,2
8,17,11,15,50,2,1,15,3
7,8,10,9,23,0,2,3,1
9,12,11,9,32,1,1,4,2
11,12,8,13,40,2,1,8,3
9,17,10,12,47,0,1,16,1
10,17,11,12,43,1,1,14,3
10,16,12,12,38,2,1,7,1
11,10,10,10,41,0,1,4,2
10,11,37,23,22,1,2,3,3
12,14,33,27,57,2,1,12,1
11,14,23,15,50,0,1,15,2
15,18,34,28,80,1,1,18,3
13,16,25,28,79,2,1,17,1
9,14,42,26,71,0,1,10,2
16,6,13,14,21,1,2,1,3
17,5,13,15,20,2,1,1,1
15,6,12,14,22,0,2,3,2
18,5,14,17,23,1,1,4,3
20,8,22,20,24,2,1,3,1
15,87,12,14,19,0,2,2,3
16,7,12,15,20,1,2,1,1
22,11,21,22,27,2,1,4,2
20,10,21,22,24,0,2,3,3
21,11,23,24,25,1,2,4,1
20,15,18,20,45,2,1,5,2
19,14,16,18,43,0,2,6,3
19,15,16,18,45,1,2,7,1
26,13,26,27,52,2,1,8,2
26,15,20,22,55,0,2,9,3
27,16,23,24,50,1,1,10,1
27,16,25,28,59,2,2,11,2
28,14,25,27,60,0,2,12,3
27,19,24,27,62,1,1,13,1
15,6,12,14,19,2,1,1,3
16,5,13,15,20,0,2,1,1
22,9,21,20,38,1,1,4,2
23,11,24,24,44,2,2,4,3
21,9,22,20,31,0,1,1,1
22,9,22,20,20,1,1,3,2
20,8,22,20,24,2,1,3,3
16,7,12,14,25,0,2,1,1
20,10,23,21,19,1,2,3,2
22,11,21,22,27,2,2,4,3
18,14,16,18,43,0,1,5,1
19,15,19,15,51,1,2,6,2
19,16,20,22,56,2,2,7,3
20,15,21,20,61,0,1,8,1
22,16,23,22,61,1,1,9,3
26,13,27,26,71,2,2,10,1
28,16,24,25,72,0,1,11,2
17,15,24,26,71,1,2,12,3
27,16,24,28,73,2,2,13,1
28,17,24,25,78,0,1,15,2
29,18,27,28,79,1,1,17,3
29,18,28,29,79,2,2,17,1
28,19,27,28,80,0,1,18,2
28,19,27,28,82,1,2,18,3
16,5,13,15,21,2,2,1,1
17,5,13,15,22,0,1,1,2
17,5,14,16,23,1,1,1,3
18,5,14,17,24,2,2,1,1
19,14,16,18,43,0,2,5,3
20,15,16,18,44,1,1,5,1
20,15,18,20,45,2,1,5,2
25,12,26,24,51,0,1,10,3
25,12,27,26,52,1,2,10,1
26,13,26,27,52,2,2,10,2
26,14,23,29,53,0,1,9,3
26,15,20,22,54,1,1,11,1
27,16,23,24,55,2,2,11,2
28,16,26,28,56,0,1,11,3
28,17,25,27,57,1,1,12,1
27,16,25,28,59,2,1,12,2
28,18,25,27,59,0,2,12,3
27,18,25,27,62,1,1,13,1
28,18,25,27,63,2,1,14,3
30,18,26,29,56,0,1,17,1
